지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
137035,1979,2009-10-21,0008,00,다른 법률과의 관계,Y,137035,28275389
137036,1979,2009-10-21,0009,00,소송과 배상신청의 관계,Y,137036,28275390
137037,1979,2009-10-21,0012,00,배상신청,Y,137037,28275392
137029,1979,2009-10-21,0002,00,배상책임,Y,137029,28275383
137028,1979,2009-10-21,0001,00,목적,Y,137028,28275368
137038,1979,2009-10-21,0006,00,비용부담자 등의 책임,Y,137038,28275387
137033,1979,2009-10-21,0015,00,신청인의 동의와 배상금 지급,Y,137033,28275371
137054,1983,2009-11-02,0017,00,복무기간 연장 등,Y,137054,28272073
137052,1983,2009-11-02,0015,00,신분 상실,Y,137052,28272052
137046,1983,2009-11-02,0003,00,신분,Y,137046,28272063
137047,1983,2009-11-02,0005,00,종사명령 등,Y,137047,28272065
137048,1983,2009-11-02,0009,00,업무 범위,Y,137048,28272068
137049,1983,2009-11-02,0010,00,직장 이탈 금지,Y,137049,28272049
137050,1983,2009-11-02,0018,00,청문,Y,137050,28272074
137051,1983,2009-11-02,0014,00,보수 등,Y,137051,28272071
137053,1983,2009-11-02,0016,00,신분 박탈,Y,137053,28272072
137055,1983,2009-11-02,0011,00,복무 감독,Y,137055,28272050
150555,8393,2009-11-02,0006,00,특례의 제한,Y,150555,17736166
150554,8393,2009-11-02,0005,00,판결의 특례,Y,150554,17736165
150553,8393,2009-11-02,0004,00,심리의 불속행,Y,150553,17736164
150557,8394,2009-11-25,0013,00,가스차·살수차·특수진압차·물포의 사용기준,Y,150557,28275021
150556,8394,2009-11-25,0006,00,불법집회등에서의 경찰봉·호신용경봉의 사용기준,Y,150556,28275002
150558,8395,2009-12-29,0062,00,경매 또는 수의계약 절차 등,Y,150558,28279655
150559,8395,2009-12-29,0063,00,매각대상물품의 열람,Y,150559,28279656
137656,2012,2009-12-30,0016,00,국유·공유재산의 무상 대부,Y,137656,31904078
