일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
154237,굴,,,2023-01-15,
154239,광산업,,,2023-01-15,
154241,채석장,,,2023-01-15,2023-06-27
154243,상세지정기준,,,2023-01-15,
154245,산지태양광발전시설,,,2023-01-15,
154247,태양광발전,,,2023-01-15,
154249,잠정중단,,,2023-01-15,
154251,복구면제,,,2023-01-15,
154253,산지복구설계서,,,2023-01-15,
154255,복구설계서,,,2023-01-15,
154257,재생에너지발전사업자,,,2023-01-15,
154259,수력에너지,,,2023-01-15,
154261,하자보증금,,,2023-01-15,
154263,불법산지전용,,,2023-01-15,
154265,산림형질변경,,,2023-01-15,2023-01-30
154267,불법형질변경,,,2023-01-15,
154269,산지복구전문기관,,,2023-01-15,
154271,현장관리자,,,2023-01-15,2023-03-06
154273,유동,,,2023-01-15,2023-03-17
154275,상세지침,,,2023-01-15,
154277,고압가스냉동,,,2023-01-15,
154283,안전설비,,,2023-01-15,
154285,회수펌프,,,2023-01-15,
154287,회수탱크,,,2023-01-15,
154289,검수기준,,,2023-01-15,
154291,수송자,,,2023-01-15,
154293,내부검사방법,,,2023-01-15,
154295,감리적부판정,,,2023-01-15,
154297,낡은시설,,,2023-01-15,
154299,노후설비,,,2023-01-15,
154301,난방배관,,,2023-01-15,2023-02-24
154305,가스사고조사,,,2023-01-15,
154307,부국,,,2023-01-15,
154309,검사부적격,,,2023-01-15,
154311,예산결산특별위,,,2023-01-15,
154313,진실화해를위한과거사정리위원회,,,2023-01-15,
154315,명단통지,,,2023-01-15,
154317,복지사업심의,,,2023-01-16,
154319,고엽제후유의증환자,,,2023-01-16,
154321,감사역,,,2023-01-16,
154327,일반대학원,,,2023-01-16,2023-03-09
154329,특수대학원,,,2023-01-16,2023-03-09
154331,경찰관리,,,2023-01-16,
154333,경찰통제,,,2023-01-16,
154335,교과목,,,2023-01-16,2023-08-07
154337,수세,,,2023-01-16,2023-01-25
154339,국정원장,,,2023-01-16,
154341,국정원,,,2023-01-16,2023-02-17
154345,항만친수시설,,,2023-01-16,2023-01-31
154347,국가관리연안항,,,2023-01-16,
154349,지방관리연안항,,,2023-01-16,2023-06-12
154351,수상구역,,,2023-01-16,2023-01-28
154353,육상구역,,,2023-01-16,2023-03-23
154355,항만물류통합정보,,,2023-01-16,
154357,항만정책,,,2023-01-16,
154359,월세인상,,,2023-01-16,2023-01-16
154361,월세인하,,,2023-01-16,
154363,공사기한,,,2023-01-16,
154365,증감청구권,,,2023-01-16,
154367,무능력,,,2023-01-16,
154369,장애인증,,,2023-01-16,
154371,주말텃밭,,,2023-01-16,
154373,군입대신체검사,,,2023-01-16,2023-07-21
154375,사살,,,2023-01-16,
154377,포살,,,2023-01-16,2023-05-17
154381,부채질,,,2023-01-16,2023-05-01
154383,준비행위,,,2023-01-16,2023-06-14
154385,범죄준비,,,2023-01-16,
154387,생할지원대상자,,,2023-01-16,
154389,생활안정지원대상인,,,2023-01-16,
154391,구화,,,2023-01-16,
154399,초등학교도서관,,,2023-01-16,
154401,중학교도서관,,,2023-01-16,
154403,고등학교도서관,,,2023-01-16,
154405,시청각자료센터,,,2023-01-16,
154407,전문서적,,,2023-01-16,
154409,식문화전문도서관,,,2023-01-16,
154411,인권도서관,,,2023-01-16,
154415,지식재산전문도서관,,,2023-01-16,
154417,도서관리,,,2023-01-16,2023-01-16
154425,액세스,,,2023-01-16,
154427,노후준비표,,,2023-01-16,
154429,사권수립,,,2023-01-16,
154431,도서실운영,,,2023-01-16,
154433,재산권설정,,,2023-01-16,
154435,실업계,,,2023-01-16,2023-04-01
154437,체육실기교사,,,2023-01-16,2023-01-31
154439,음악실기교사,,,2023-01-16,2023-01-31
154441,정보시스템관리,,,2023-01-16,
154443,네트워크관리,,,2023-01-16,
154445,직업연수,,,2023-01-16,
154451,사서,,,2023-01-16,
154453,국립도서관위원회,,,2023-01-16,
154455,국가도서관위원회,,,2023-01-16,
